title,price,stock,rating,category
The Little Prince,£45.42,In stock (1 available),Two,Classics
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",£36.39,In stock (6 available),Three,Sequential Art
The Story of Hong Gildong,£43.19,In stock (1 available),Four,Classics
And Then There Were None,£35.01,In stock (3 available),Two,Classics
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,In stock (1 available),Five,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",£21.71,In stock (1 available),Four,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76,In stock (1 available),Four,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39,In stock (1 available),Four,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24,In stock (1 available),Three,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",£29.87,In stock (1 available),Three,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,In stock (1 available),Four,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,In stock (1 available),Five,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",£54.12,In stock (1 available),Three,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51,In stock (1 available),Four,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",£42.12,In stock (1 available),Three,Sequential Art
Beowulf,£38.35,In stock (3 available),Two,Classics
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96,In stock (1 available),Five,Sequential Art
The Complete Maus (Maus #1-2),£10.64,In stock (1 available),Three,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",£28.48,In stock (1 available),One,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52,In stock (1 available),Two,Sequential Art
The Picture of Dorian Gray,£29.70,In stock (3 available),Two,Classics
Animal Farm,£57.22,In stock (4 available),Three,Classics
Candide,£58.63,In stock (4 available),Three,Classics
Little Women (Little Women #1),£28.07,In stock (4 available),Four,Classics
Gone with the Wind,£32.49,In stock (4 available),Three,Classics
Wuthering Heights,£17.73,In stock (3 available),Three,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,In stock (3 available),Four,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,In stock (4 available),Two,Classics
The Pilgrim's Progress,£50.26,In stock (4 available),Two,Classics
The Secret Garden,£15.08,In stock (5 available),Four,Classics
The Metamorphosis,£28.58,In stock (5 available),One,Classics
Boar Island (Anna Pigeon #19),£59.48,In stock (12 available),Three,Mystery
Hide Away (Eve Duncan #20),£11.84,In stock (12 available),One,Mystery
Most Wanted,£35.28,In stock (12 available),Three,Mystery
The Widow,£27.26,In stock (11 available),Two,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock (12 available),Four,Mystery
Poisonous (Max Revere Novels #3),£26.80,In stock (12 available),Three,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock (15 available),Four,Mystery
A Time of Torment (Charlie Parker #14),£48.35,In stock (14 available),Five,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock (14 available),Two,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock (14 available),One,Mystery
The Last Mile (Amos Decker #2),£54.21,In stock (14 available),Two,Mystery
That Darkness (Gardiner and Renner #1),£13.92,In stock (14 available),One,Mystery
A Murder in Time,£16.64,In stock (16 available),One,Mystery
The Past Never Ends,£56.50,In stock (16 available),Four,Mystery
Sharp Objects,£47.82,In stock (20 available),Four,Mystery
"In a Dark, Dark Wood",£19.63,In stock (18 available),One,Mystery
